,AcresBurned,ArchiveYear,CrewsInvolved,Dozers,Engines,Fatalities,Featured,Final,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started,UniqueId,Updated,Duration
129,40.0,2013,,,,,False,True,,,37.342186,-121.717706,False,Grant Fire,,2013-12-31 05:30:00+00:00,7a168690-06e5-4056-97c8-73b834204744,2013-12-31 16:00:00+00:00,10.5
130,40.0,2013,,,,,False,True,,,33.7655,-117.6649,False,Baker Fire,,2013-10-06 10:52:00+00:00,9a110003-2f4c-4ac7-a3e5-b4e713f8d1fe,2013-10-09 08:00:00+00:00,69.13333333333334
132,40.0,2013,,,,,False,True,,,33.570291,-116.10815,False,Pierce Fire,,2013-08-16 13:31:00+00:00,f23f8148-6ec4-4885-9729-0dad7c744485,2013-08-16 21:00:00+00:00,7.483333333333333
134,40.0,2013,,,,,False,True,,,33.9634,-117.2508,False,Heacock Fire,,2013-07-19 16:21:00+00:00,8fb3a438-3146-4b8d-8f20-bfa8d6610f84,2013-07-20 19:30:00+00:00,27.15
135,40.0,2013,,,,,False,True,,,34.001745,-117.302057,False,Palmyrita Fire,,2013-06-14 13:47:00+00:00,2d1f0c40-92e7-4540-991b-d353ed68ec6c,2013-06-15 08:00:00+00:00,18.216666666666665
136,40.0,2013,,1.0,19.0,,False,True,,,33.655638,-116.161201,True,54 Fire,65.0,2013-05-16 13:48:00+00:00,e215290f-d0b4-48fd-be32-f599959347b1,2013-05-17 08:30:00+00:00,18.7
137,38.0,2013,,,,,False,True,,,38.89555,-120.84716,False,Empire Fire,,2013-08-24 14:54:00+00:00,fea7802f-ba70-450a-9ad1-96e2751293a9,2013-08-24 11:45:00+00:00,-3.15
138,38.0,2013,,,,,False,True,,,39.1591,-122.5906,False,Indian Fire,,2013-08-07 12:35:00+00:00,b5b63934-923d-4504-a9b1-75c885477a8d,2013-08-07 18:30:00+00:00,5.916666666666667
139,38.0,2013,,,,,False,True,,,37.74241,-121.86216,False,Fallon Fire,,2013-07-06 13:09:00+00:00,4c04a4e5-f580-4e62-bb53-2575c72d29dc,2013-07-06 14:30:00+00:00,1.35
140,35.0,2013,,,,,False,True,,,36.763366999999995,-119.55824399999999,False,Michelle Fire,,2013-06-13 15:54:00+00:00,953f17a1-2034-467b-b48c-28da1a9af60e,2013-06-13 21:30:00+00:00,5.6
141,35.0,2013,,,,,False,True,,,35.49864,-120.91375,False,Cottontail Fire,,2013-05-20 15:45:00+00:00,f17c523c-bf01-4245-899b-7c2331096dae,2013-05-20 19:10:00+00:00,3.4166666666666665
143,33.0,2013,,,,,False,True,,,40.483662,-122.140914,False,Dersch Fire,,2013-11-07 16:10:00+00:00,29a2efda-c28f-4a41-9c6d-8cb8f763d464,2013-11-07 19:45:00+00:00,3.5833333333333335
144,31.0,2013,,,,,False,True,,,37.965364,-120.69636200000001,False,Chuckwagon Fire,,2013-07-22 12:34:00+00:00,68dadbb3-6a63-483a-add9-491a69d9e0ad,2013-07-23 15:10:00+00:00,26.6
145,30.0,2013,,,,,False,True,,,38.9777,-122.68299999999999,True,Lakeshore Fire,,2013-09-15 19:45:00+00:00,51e00abb-53d0-4014-9224-2a853b1d6bcf,2013-09-15 17:14:00+00:00,-2.5166666666666666
146,30.0,2013,,,,,False,True,,,38.992329999999995,-122.703193,False,Lake Fire,,2013-06-05 16:05:00+00:00,dcb21e64-9d38-47c2-848b-e8e0dea5c2de,2013-06-06 07:00:00+00:00,14.916666666666666
147,30.0,2013,,,,,False,True,,,34.288877,-116.94131100000001,False,Fawnskin Fire,,2013-04-20 17:30:00+00:00,58f89ff8-bd3e-4355-b1c0-8fa05c747d3f,2013-04-22 09:00:00+00:00,39.5
148,28.0,2013,,,,,False,True,,,38.4229,-122.0437,True,Sonoma-Lake-Napa Unit Lightning Fires,,2013-06-10 00:46:00+00:00,5ce45b6c-81b5-422c-9078-8c68dd872c8a,2013-06-14 15:45:00+00:00,110.98333333333333
